,coef,amenities
0,-0.00031467687215468133,Unnamed: 0
1,0.008377416890309242,host_listings_count
2,0.008377416888128764,host_total_listings_count
3,19.226703578641413,accommodates
4,13.10227726767576,bathrooms
5,30.004728616879746,bedrooms
6,-7.785687763759686,beds
7,4.516448618768336,guests_included
8,-0.15333687551806463,number_of_reviews
9,0.8913818079887097,review_scores_rating
10,3.019806626980426e-14,Unnamed: 12
11,-1.2325596236121603,24-Hour Check-in
12,-2.0427598180306754,24-hour check-in
13,-4.907517822713839,Air Conditioning
14,16.508660874628518,Air conditioning
15,-8.034573388724633,Breakfast
16,7.276270827165839,Buzzer/Wireless Intercom
17,7.408512806479282,Buzzer/wireless intercom
18,16.66103839260206,Cable TV
19,-1.74050729706385,Carbon Monoxide Detector
20,1.2354355322516204,Carbon monoxide detector
21,-6.564073087519218,Cat(s)
22,5.424640579974342,Dog(s)
23,28.16258955796166,Doorman
24,3.3664891589688786,Dryer
25,10.837150896907307,Elevator in Building
26,17.066115625390626,Elevator in building
27,-1.312712815195233,Essentials
28,8.140665470569216,Family/Kid Friendly
29,7.2338374351793515,Family/kid friendly
30,4.724670836291443,Fire Extinguisher
31,-1.2746676609419734,Fire extinguisher
32,-3.79932130866184,First Aid Kit
33,-8.898094230256577,First aid kit
34,-2.453249032266031,Free Parking on Premises
35,-25.93591606295821,Free Parking on Street
36,-25.011328759888936,Free parking on premises
37,-46.117900282552384,Free parking on street
38,5.630635942530002,Gym
39,4.422695125397094,Hair Dryer
40,8.245760266063696,Hair dryer
41,-2.1151805777275676,Hangers
42,2.329104531903906,Heating
43,-0.07098531788077267,Hot Tub
44,-3.0139195057336376,Hot tub
45,13.75855158226387,Indoor Fireplace
46,31.237673878308314,Indoor fireplace
47,-19.653229180664553,Internet
48,-3.7376859972540757,Iron
49,1.8925973715120252,Kitchen
50,3.4678899593786303,Laptop Friendly Workspace
51,3.7705176825539706,Laptop friendly workspace
52,-19.24101415718574,Lock on Bedroom Door
53,-21.03942768118265,Lock on bedroom door
54,6.828038144198613,Other pet(s)
55,1.867511574464714,Paid Parking Off Premises
56,33.88569738456275,Paid parking off premises
57,4.6370134090064505,Pets Allowed
58,-0.31804868802528824,Pets allowed
59,-13.669343174066285,Pets live on this property
60,1.9550350553238314,Pool
61,-3.5553038073629883,Safety Card
62,1.1547000735889312,Safety card
63,5.613513129093662,Shampoo
64,-1.9767922013819499,Smoke Detector
65,-2.159035589134703,Smoke detector
66,-13.961101753487835,Smoking Allowed
67,-10.05891525859192,Smoking allowed
68,6.802896888776502,Suitable for Events
69,-0.09405964933511637,Suitable for events
70,14.19089752718185,TV
71,-1.6303207610416592,Washer
72,2.067731089255635,Washer / Dryer
73,-5.525234664132919,Wheelchair Accessible
74,-1.0453344990139022,Wheelchair accessible
75,-1.4815016738120725,Wireless Internet
76,3.841760822357107,translation missing: en.hosting_amenity_49
77,-6.880655843104133,translation missing: en.hosting_amenity_50
78,5.674691173785809,host_is_superhost
79,-3.184400318305648,host_identity_verified
80,-11.852433418899691,host_has_profile_pic
81,2.8538586401886405,is_location_exact
82,44.99838267523485,requires_license
83,-9.836413030426854,instant_bookable
84,-16.330530656419157,require_guest_profile_picture
85,14.017404351161181,require_guest_phone_verification
86,23.039953828312395,boston
87,-1.5080477488901423,los-angeles
88,8.820007730277535,new-york-city
89,-55.07784401004439,portland
90,24.725930200358352,san-francisco
