,id,price
109,2,122
147,79,238
958,53,170
2515,143,59
2539,2,49
2595,20,250
2732,15,145
3021,5,86
3152,14,265
3319,324,119
3353,34,40
3831,76,89
4611,86,50
5099,56,198
5107,55,250
5121,50,60
5172,53,129
5178,304,79
5193,243,160
5203,99,79
5238,137,140
5258,57,145
5270,201,100
5351,86,70
5441,105,135
5506,36,145
5803,130,85
5841,37,181
5857,83,215
5858,110,250
5945,64,120
5947,181,250
6695,47,195
6848,65,140
6976,41,65
6990,179,95
7036,4,59
7064,9,150
7097,102,215
7121,5,375
7143,101,70
7322,193,118
7540,54,585
7748,5,55
7801,10,325
7816,11,225
7918,15,65
7992,23,75
8014,49,60
8021,172,127
8024,81,140
8025,21,120
8110,41,130
8142,6,65
8225,105,49
8235,108,130
8270,16,225
8339,22,395
8343,10,375
8371,1,80
8490,40,150
8739,397,120
8745,2,69
8746,3,52
8747,14,39
8770,279,125
8775,17,285
8792,18,154
9123,202,160
9140,227,160
9225,272,150
9273,13,225
9356,117,99
9357,48,150
9376,22,90
9416,8,55
9518,56,57
9545,123,80
9657,15,220
9668,195,50
9704,37,55
9765,9,229
9782,151,55
9783,212,50
9824,22,209
9855,3,259
9857,21,342
9858,1,449
9860,22,251
9870,6,279
9896,32,75
10251,225,240
10423,92,131
10452,58,60
10730,21,150
10758,2,115
10760,43,74
10807,1,80
10809,14,100
10811,3,165
10832,11,160
10962,118,85
10994,54,129
11174,51,69
11374,9,80
11395,32,195
11511,8,175
11540,9,80
11708,114,85
11900,116,120
12041,4,89
12042,5,89
12048,155,45
12192,191,70
12299,3,120
12303,22,120
12318,57,135
12356,9,200
12382,156,115
12441,29,399
12522,295,69
12543,12,450
12579,14,350
12622,29,58
12625,26,105
12899,360,80
12937,138,130
12940,40,150
13050,9,115
13059,13,375
13076,7,75
13362,59,113
13380,5,100
13394,97,80
13422,28,185
13488,83,220
13552,88,86
13589,52,389
13592,15,359
13702,24,120
13705,130,75
13776,90,150
13808,68,80
13974,51,220
14098,9,275
14107,27,235
14124,99,150
14125,59,215
14273,36,99
14287,21,120
14290,36,196
14314,68,149
14322,7,200
14374,134,200
14377,69,150
14434,57,60
14435,22,75
14694,6,145
14699,2,350
14708,6,135
14945,11,180
14991,14,90
15110,4,89
15154,297,100
15220,146,69
15230,9,185
15239,1,325
15338,99,49
15341,12,160
15345,98,85
15385,20,85
15440,433,140
15491,5,69
15493,23,59
15509,14,59
15700,63,165
15711,42,280
15944,49,130
15962,58,130
16008,36,175
16056,11,75
16089,110,150
16326,97,345
16338,24,55
16421,176,100
16422,31,85
16567,64,215
16580,135,80
16595,91,250
16737,237,120
16821,37,79
16928,45,140
16949,17,150
16971,33,195
16974,116,225
16990,5,59
17037,44,230
17052,53,99
17132,10,450
17226,32,170
17240,21,69
17297,35,180
17298,23,180
17299,32,180
17330,149,210
17337,1,75
17454,7,185
17535,62,80
17860,47,200
18067,21,250
18127,17,190
18152,99,80
18195,12,85
18263,52,80
18590,92,85
18711,17,126
18728,110,135
18764,55,129
18904,217,120
19040,201,188
19159,46,140
19169,55,265
19319,74,120
19601,25,800
19743,21,150
19887,178,75
20000,271,75
20299,126,65
20300,2,50
20483,36,350
20486,81,195
20585,311,124
20611,119,84
20734,43,140
20755,10,148
20786,11,285
20793,272,148
20809,56,135
20853,5,250
20913,152,100
20965,3,74
21218,327,140
21220,259,228
21293,53,105
21334,72,150
21337,11,329
21456,45,140
21530,110,199
21794,17,110
21891,21,349
21914,11,65
22208,4,225
22212,23,285
22354,215,135
22562,64,150
22673,16,190
22911,134,125
23135,146,175
23265,128,185
23269,37,185
23363,69,105
23416,2,185
23481,69,140
23501,68,65
23540,23,225
23545,155,230
23586,52,200
23611,172,98
23619,127,175
23630,230,165
23636,31,275
23686,21,599
23710,46,75
23856,12,165
23925,10,359
24028,7,259
24041,176,125
24143,220,91
24189,34,95
24215,89,295
24240,37,250
24261,21,145
24266,32,95
24269,39,175
24281,48,95
24285,50,220
24345,3,200
24349,27,196
24463,179,144
24685,103,79
24686,33,120
24723,152,160
24769,19,159
24849,1,190
25094,1,150
25142,9,349
25235,106,150
25406,23,139
25418,4,249
25445,44,100
25463,266,120
25612,38,99
25662,213,125
25672,132,130
25691,8,395
25696,93,69
25827,7,199
25927,32,110
26012,16,275
26199,64,79
26238,132,90
26362,216,59
26408,20,290
26520,10,148
26785,309,135
26843,187,99
26864,5,90
26933,5,125
26969,211,295
27006,15,235
27024,229,150
27025,74,185
27141,4,279
27159,254,53
27385,67,225
27531,234,109
27611,8,185
27644,106,170
27659,6,400
27759,8,170
27883,25,100
28055,49,75
28062,19,110
28083,34,160
28150,21,251
28327,48,165
28342,12,125
28547,98,225
28907,16,150
29012,35,85
29013,48,60
29155,31,451
29373,10,200
29414,82,185
29594,19,100
29628,172,89
29683,44,185
29765,90,295
29931,38,175
30031,118,50
30222,126,105
30474,31,100
30589,80,119
30738,37,275
30970,135,80
31237,160,90
31280,111,75
31425,75,150
31525,20,75
31555,14,125
31796,291,65
31902,1,77
31939,214,79
31994,307,85
32023,126,125
32029,37,265
32037,50,125
32244,28,200
32289,8,190
32329,3,160
32331,4,140
32414,88,150
32570,141,50
32802,19,185
32963,4,250
32965,68,135
33009,167,185
33071,56,99
33156,19,142
33223,124,78
33399,75,64
33447,190,185
33449,173,78
33577,428,200
33578,380,200
33773,56,300
34824,15,70
35555,4,117
35933,121,59
35950,27,160
36069,11,160
36133,108,135
36647,27,69
36836,169,75
36885,125,155
36934,16,125
37036,3,99
37106,10,100
37171,8,110
37197,39,175
37214,10,144
37466,27,75
37676,101,175
38365,1,79
38579,4,299
38607,158,139
38638,102,219
38663,17,475
38667,72,57
38780,35,69
38833,124,89
38935,25,145
39059,40,125
39116,46,99
39174,17,140
39267,141,99
39282,147,49
39572,18,119
39586,166,115
39704,239,150
39938,58,39
40039,14,250
40248,1,325
40453,4,250
40601,55,95
40649,9,45
40667,10,55
40692,52,240
40884,41,95
40989,44,100
41172,124,128
41277,7,49
41348,44,250
41386,6,112
41423,139,126
41513,2,80
41601,115,149
41609,6,170
41679,126,165
41743,7,300
41867,91,177
41959,166,125
42165,198,79
42300,49,450
42403,5,100
42408,4,100
42530,13,350
42577,1,185
42580,173,70
42729,84,165
42882,133,70
43170,9,125
43318,52,43
43533,3,120
43547,11,199
43656,20,200
43732,4,175
43768,6,95
43776,13,70
43778,7,175
43860,66,299
44006,18,32
44062,62,120
44096,85,55
44145,120,159
44205,76,235
44212,40,125
44221,81,225
44229,138,110
44288,65,150
44323,227,79
44461,48,70
44472,15,385
44511,161,63
44520,21,49
44619,115,62
44680,3,175
44698,97,40
44973,93,110
45299,68,149
45392,14,59
45417,73,125
45556,92,80
45605,4,65
45689,165,395
45890,107,110
45910,8,350
